Problem,Solver,MGLevels,Ranks,Grid,Domain,CellsPerProc,Iterations,Walltime_s,FinalResidual,RunID
dcavity,RB,N/A,1,48x48x48,1.0x1.0x1.0,110592,2,0.69,0.00,1
dcavity,MG,2,1,48x48x48,1.0x1.0x1.0,110592,1788,15.43,0.00,1
dcavity,MG,3,1,48x48x48,1.0x1.0x1.0,110592,1788,16.03,0.00,1
dcavity,MG,4,1,48x48x48,1.0x1.0x1.0,110592,1788,16.16,0.00,1
dcavity,RB,N/A,2,96x48x48,2.0x1.0x1.0,110592,7,3.17,0.00,1
dcavity,MG,2,2,96x48x48,2.0x1.0x1.0,110592,1790,16.90,0.00,1
dcavity,MG,3,2,96x48x48,2.0x1.0x1.0,110592,1790,17.73,0.00,1
dcavity,MG,4,2,96x48x48,2.0x1.0x1.0,110592,1790,17.92,0.00,1
dcavity,RB,N/A,4,96x96x48,2.0x2.0x1.0,110592,7,3.22,0.00,1
dcavity,MG,2,4,96x96x48,2.0x2.0x1.0,110592,1790,18.08,0.00,1
dcavity,MG,3,4,96x96x48,2.0x2.0x1.0,110592,1790,18.97,0.00,1
dcavity,MG,4,4,96x96x48,2.0x2.0x1.0,110592,1790,19.26,0.00,1
dcavity,RB,N/A,8,96x96x96,2.0x2.0x2.0,110592,7,3.33,0.00,1
dcavity,MG,2,8,96x96x96,2.0x2.0x2.0,110592,1791,20.53,0.00,1
dcavity,MG,3,8,96x96x96,2.0x2.0x2.0,110592,1791,21.53,0.01,1
dcavity,MG,4,8,96x96x96,2.0x2.0x2.0,110592,1791,21.85,0.01,1
dcavity,RB,N/A,16,192x96x96,4.0x2.0x2.0,110592,64,37.85,0.00,1
dcavity,MG,2,16,192x96x96,4.0x2.0x2.0,110592,1793,26.81,47.38,1
dcavity,MG,3,16,192x96x96,4.0x2.0x2.0,110592,1793,28.22,0.01,1
dcavity,MG,4,16,192x96x96,4.0x2.0x2.0,110592,1793,28.47,0.01,1
dcavity,RB,N/A,32,192x192x96,4.0x4.0x2.0,110592,42,26.20,0.00,1
dcavity,MG,2,32,192x192x96,4.0x4.0x2.0,110592,1833,29.42,510.17,1
dcavity,MG,3,32,192x192x96,4.0x4.0x2.0,110592,1793,30.14,0.01,1
dcavity,MG,4,32,192x192x96,4.0x4.0x2.0,110592,1793,30.73,0.00,1
dcavity,RB,N/A,64,192x192x192,4.0x4.0x4.0,110592,42,28.24,0.00,1
dcavity,MG,2,64,192x192x192,4.0x4.0x4.0,110592,TIMEOUT,TIMEOUT,TIMEOUT,1
dcavity,MG,3,64,192x192x192,4.0x4.0x4.0,110592,1793,31.29,0.01,1
dcavity,MG,4,64,192x192x192,4.0x4.0x4.0,110592,1793,31.84,0.01,1
canal,RB,N/A,1,96x32x32,30.0x4.0x4.0,98304,873,147.57,0.00,1
canal,MG,2,1,96x32x32,30.0x4.0x4.0,98304,732,5.52,0.00,1
canal,MG,3,1,96x32x32,30.0x4.0x4.0,98304,837,6.56,0.00,1
canal,MG,4,1,96x32x32,30.0x4.0x4.0,98304,846,6.68,0.00,1
canal,RB,N/A,2,192x32x32,60.0x4.0x4.0,98304,1013,192.72,0.00,1
canal,MG,2,2,192x32x32,60.0x4.0x4.0,98304,1010,8.07,0.00,1
canal,MG,3,2,192x32x32,60.0x4.0x4.0,98304,1009,8.43,0.00,1
canal,MG,4,2,192x32x32,60.0x4.0x4.0,98304,1009,8.52,0.00,1
canal,RB,N/A,4,384x32x32,120.0x4.0x4.0,98304,1032,204.81,0.04,1
canal,MG,2,4,384x32x32,120.0x4.0x4.0,98304,1027,8.72,0.03,1
canal,MG,3,4,384x32x32,120.0x4.0x4.0,98304,1024,9.14,0.04,1
canal,MG,4,4,384x32x32,120.0x4.0x4.0,98304,1024,9.27,0.04,1
canal,RB,N/A,8,384x64x32,120.0x8.0x4.0,98304,921,190.12,0.06,1
canal,MG,2,8,384x64x32,120.0x8.0x4.0,98304,924,8.91,0.02,1
canal,MG,3,8,384x64x32,120.0x8.0x4.0,98304,920,9.30,0.04,1
canal,MG,4,8,384x64x32,120.0x8.0x4.0,98304,920,9.44,0.04,1
canal,RB,N/A,16,384x64x64,120.0x8.0x8.0,98304,812,191.50,0.07,1
canal,MG,2,16,384x64x64,120.0x8.0x8.0,98304,829,10.34,0.02,1
canal,MG,3,16,384x64x64,120.0x8.0x8.0,98304,816,10.58,0.03,1
canal,MG,4,16,384x64x64,120.0x8.0x8.0,98304,815,10.74,0.03,1
canal,RB,N/A,32,768x64x64,240.0x8.0x8.0,98304,812,208.58,0.11,1
canal,MG,2,32,768x64x64,240.0x8.0x8.0,98304,841,11.41,0.10,1
canal,MG,3,32,768x64x64,240.0x8.0x8.0,98304,820,11.62,0.09,1
canal,MG,4,32,768x64x64,240.0x8.0x8.0,98304,820,11.82,0.09,1
canal,RB,N/A,64,768x128x64,240.0x16.0x8.0,98304,764,212.67,0.11,1
canal,MG,2,64,768x128x64,240.0x16.0x8.0,98304,1079,15.12,46.56,1
canal,MG,3,64,768x128x64,240.0x16.0x8.0,98304,775,11.41,0.09,1
canal,MG,4,64,768x128x64,240.0x16.0x8.0,98304,776,11.63,0.09,1
